team,Rank
Seattle Mariners,1
Atlanta Braves,2
Detroit Tigers,3
Cleveland Guardians,4
Milwaukee Brewers,5
New York Yankees,6
Houston Astros,7
Kansas City Royals,8
Tampa Bay Rays,9
Chicago Cubs,10
Philadelphia Phillies,11
San Diego Padres,12
Los Angeles Dodgers,13
Baltimore Orioles,14
New York Mets,15
St. Louis Cardinals,16
Boston Red Sox,17
Cincinnati Reds,18
San Francisco Giants,19
Pittsburgh Pirates,20
Minnesota Twins,21
Toronto Blue Jays,22
Washington Nationals,23
Texas Rangers,24
Oakland Athletics,25
Los Angeles Angels,26
Arizona Diamondbacks,27
Chicago White Sox,28
Miami Marlins,29
Colorado Rockies,30
