Team,Rank
New York Mets,1
Kansas City Royals,2
Minnesota Twins,3
Texas Rangers,4
San Francisco Giants,5
Detroit Tigers,6
Houston Astros,7
San Diego Padres,8
Cincinnati Reds,9
New York Yankees,10
Seattle Mariners,11
St. Louis Cardinals,12
Atlanta Braves,13
Philadelphia Phillies,14
Tampa Bay Rays,15
Chicago Cubs,16
Boston Red Sox,17
Pittsburgh Pirates,18
Cleveland Guardians,19
Milwaukee Brewers,20
Chicago White Sox,21
Los Angeles Dodgers,22
Toronto Blue Jays,23
Arizona Diamondbacks,24
Los Angeles Angels,25
Athletics,26
Washington Nationals,27
Miami Marlins,28
Baltimore Orioles,29
Colorado Rockies,30
